TARGET_FID,strata_id
0,SF-23-Z_D1
1,SF-23-Z_D1
2,SF-23-Z_D1
3,SF-23-Z_D1
4,SF-23-Z_D1
5,SF-23-Z_D1
6,SF-23-Z_D1
7,SF-23-Z_D1
8,SF-23-Z_D1
9,SF-23-Z_D1
10,SF-23-Z_D1
11,SF-23-Z_D1
12,SF-23-Z_D1
13,SF-23-Z_D1
14,SF-23-Z_D1
15,SF-23-Z_D1
16,SF-23-Z_D1
17,SF-23-Z_D1
18,SF-23-Z_D1
19,SF-23-Z_D1
20,SF-23-Z_D1
21,SF-23-Z_D1
22,SF-23-Z_D1
23,SF-23-Z_D1
24,SF-23-Z_D1
25,SF-23-Z_D1
26,SF-23-Z_D1
27,SF-23-Z_D1
28,SF-23-Z_D1
29,SF-23-Z_D1
30,SF-23-Z_D1
31,SF-23-Z_D1
32,SF-23-Z_D1
33,SF-23-Z_D1
34,SF-23-Z_D1
35,SF-23-Z_D1
36,SF-23-Z_D1
37,SF-23-Z_D1
38,SF-23-Z_D1
39,SF-23-Z_D1
40,SF-23-Z_D1
41,SF-23-Z_D1
42,SF-23-Z_D1
43,SF-23-Z_D1
44,SF-23-Z_D1
45,SF-23-Z_D1
46,SF-23-Z_D1
47,SF-23-Z_D1
48,SF-23-Z_D1
49,SF-23-Z_D1
50,SF-23-Z_D1
51,SF-23-Z_D1
52,SF-23-Z_D1
53,SF-23-Z_D1
54,SF-23-Z_D1
55,SF-23-Z_D1
56,SF-23-Z_D1
57,SF-23-Z_D1
58,SF-23-Z_D1
59,SF-23-Z_D1
60,SF-23-Z_D1
61,SF-23-Z_D1
62,SF-23-Z_D1
63,SF-23-Z_D1
64,SF-23-Z_D1
65,SF-23-Z_D1
66,SF-23-Z_D1
67,SF-23-Z_D2
68,SF-23-Z_D2
69,SF-23-Z_D2
70,SF-23-Z_D2
71,SF-23-Z_D2
72,SF-23-Z_D2
73,SF-23-Z_D2
74,SF-23-Z_D2
75,SF-23-Z_D2
76,SF-23-Z_D2
77,SF-23-Z_D2
78,SF-23-Z_D2
79,SF-23-Z_D2
80,SF-23-Z_D2
81,SF-23-Z_D2
82,SF-23-Z_D2
83,SF-23-Z_D2
84,SF-23-Z_D2
85,SF-23-Z_D2
86,SF-23-Z_D2
87,SF-23-Z_D2
88,SF-23-Z_D2
89,SF-23-Z_D2
90,SF-23-Z_D2
91,SF-23-Z_D2
92,SF-23-Z_D2
93,SF-23-Z_D2
94,SF-23-Z_D2
95,SF-23-Z_D2
96,SF-23-Z_D2
97,SF-23-Z_D2
98,SF-23-Z_D2
99,SF-23-Z_D2
100,SF-23-Z_D2
101,SF-23-Z_D2
102,SF-23-Z_D2
103,SF-23-Z_D2
104,SF-23-Z_D2
105,SF-23-Z_D2
106,SF-23-Z_D2
107,SF-23-Z_D2
108,SF-23-Z_D2
109,SF-23-Z_D2
110,SF-23-Z_D2
111,SF-23-Z_D2
112,SF-23-Z_D2
113,SF-23-Z_D2
114,SF-23-Z_D2
115,SF-23-Z_D2
116,SF-23-Z_D2
117,SF-23-Z_D2
118,SF-23-Z_D2
119,SF-23-Z_D2
120,SF-23-Z_D2
121,SF-23-Z_D2
122,SF-23-Z_D2
123,SF-23-Z_D2
124,SF-23-Z_D2
125,SF-23-Z_D2
126,SF-23-Z_D2
127,SF-23-Z_D2
128,SF-23-Z_D2
129,SF-23-Z_D2
130,SF-23-Z_D2
131,SF-23-Z_D2
132,SF-23-Z_D2
133,SF-23-Z_D2
134,SF-23-Z_D2
135,SF-23-Z_D2
136,SF-23-Z_D2
137,SF-23-Z_D2
138,SF-23-Z_D2
139,SF-23-Z_D2
140,SF-23-Z_D2
141,SF-23-Z_D2
142,SF-23-Z_D2
143,SF-23-Z_D2
144,SF-23-Z_D2
145,SF-23-Z_D2
146,SF-23-Z_D2
147,SF-23-Z_D2
148,SF-23-Z_D2
149,SF-23-Z_D2
150,SF-23-Z_D2
151,SF-23-Z_D3
152,SF-23-Z_D3
153,SF-23-Z_D3
154,SF-23-Z_D3
155,SF-23-Z_D3
156,SF-23-Z_D3
157,SF-23-Z_D3
158,SF-23-Z_D3
159,SF-23-Z_D3
160,SF-23-Z_D3
161,SF-23-Z_D3
162,SF-23-Z_D3
163,SF-23-Z_D3
164,SF-23-Z_D3
165,SF-23-Z_D3
166,SF-23-Z_D3
167,SF-23-Z_D3
168,SF-23-Z_D3
169,SF-23-Z_D3
170,SF-23-Z_D3
171,SF-23-Z_D3
172,SF-23-Z_D3
173,SF-23-Z_D3
174,SF-23-Z_D3
175,SF-23-Z_D3
176,SF-23-Z_D3
177,SF-23-Z_D3
178,SF-23-Z_D3
179,SF-23-Z_D3
180,SF-23-Z_D3
181,SF-23-Z_D3
182,SF-23-Z_D3
183,SF-23-Z_D3
184,SF-23-Z_D3
185,SF-23-Z_D3
186,SF-23-Z_D3
187,SF-23-Z_D3
188,SF-23-Z_D3
189,SF-23-Z_D3
190,SF-23-Z_D3
191,SF-23-Z_D3
