strata_id,pop
SH-21-Z_D1,22049360
SI-22-V_D1,19367713
SF-24-V_D1,4483278
SF-23-Z_D1,3193040
SC-24-Z_D1,18863275
SD-24-V_D1,12154958
SA-23-Y_D1,20736860
SD-22-Y_D1,27470743
SF-23-X_D1,2359658
NA-21-V_D1,20523483
SA-23-X_D1,14118008
SF-22-Y_D1,15836552
SB-22-X_D1,13389895
SB-20-Z_D1,24023136
SD-21-V_D1,30332207
SG-22-V_D1,4898764
SC-23-Y_D1,28001088
SD-22-V_D1,35635224
SD-21-Y_D1,28383711
SD-23-V_D1,30590165
SB-23-Y_D1,22290021
SD-20-Z_D1,22606591
SC-20-Z_D1,14007035
SB-21-V_D1,13100181
SE-22-V_D1,12186772
SA-23-Z_D1,25366123
SE-23-X_D1,10674461
SC-19-V_D1,7379810
NA-20-Z_D1,28278850
SA-19-X_D1,28236852
SF-22-Z_D1,9284177
SB-22-Y_D1,13458653
SE-21-Z_D1,32272138
SB-18-X_D1,14011343
SC-23-V_D1,24757726
SE-22-Y_D1,17742360
SD-21-X_D1,26476895
SB-23-X_D1,21215785
SA-22-Z_D1,19736322
NA-22-Y_D1,5836013
SC-22-Z_D1,37719000
SD-24-Y_D1,9376492
SB-22-Z_D1,19360145
SB-20-X_D1,27163602
SG-21-X_D1,16619033
SB-19-Z_D1,19792747
NA-21-Y_D1,6035914
SE-22-X_D1,13394826
SA-21-Z_D1,22525285
NA-22-X_D1,13122152
SE-23-Z_D1,5456923
NA-20-X_D1,17263982
SA-20-Z_D1,24167727
NA-19-Z_D1,21069208
SE-21-X_D1,33560564
SB-20-Y_D1,29805906
SF-21-V_D1,23289183
SC-19-X_D1,17060885
SB-24-Z_D1,14395430
SD-21-Z_D1,18645732
SC-21-V_D1,11721256
SB-23-Z_D1,22854987
SC-22-Y_D1,33771629
SC-22-X_D1,27060917
SE-24-Y_D1,7403342
NA-20-Y_D1,15494317
SC-20-V_D1,25855597
SA-20-Y_D1,33739345
SC-24-V_D1,31988696
SB-20-V_D1,28540334
SF-21-X_D1,23440636
SB-19-X_D1,22754926
SE-20-X_D1,19597535
SE-22-Z_D1,17220590
SD-22-Z_D1,16745363
SA-21-X_D1,11720313
SG-22-Z_D1,4705609
SH-22-Z_D1,9501832
SB-21-Z_D1,8099286
SA-24-Y_D1,17223995
SC-21-X_D1,15698570
SD-23-Z_D1,25833078
SC-24-Y_D1,28242296
SC-23-Z_D1,36694536
SA-20-X_D1,25267867
SF-22-V_D1,22755465
SC-19-Y_D1,5541248
SB-19-Y_D1,13607572
SC-24-X_D1,20342713
SD-20-V_D1,19909572
SE-23-Y_D1,10195675
NA-21-Z_D1,6569879
SB-24-X_D1,19161167
SC-22-V_D1,19604914
