bacia,pop
732,59475356
741,42761168
742,58471479
743,11740513
744,84681052
745,16659653
746,54786165
747,12890275
751,14877637
752,15765137
753,36101051
754,82154155
755,21518933
756,45388539
757,34531632
758,22150789
759,48818895
762,87965781
763,48664669
764,39444952
765,43593832
766,36154598
767,58807505
771,35459194
772,41088994
773,19138043
774,62696183
775,20588430
776,63324198
777,48982594
778,81146385
7611,52299332
7612,19072924
7613,19517027
7614,15489324
7615,29317780
7616,16166434
7617,24234370
7618,20718612
7619,41133904
